Lever position,Ship speed,Gas Turbine (GT) shaft torque (GTT) ,GT rate of revolutions (GTn),Gas Generator rate of revolutions (GGn),Starboard Propeller Torque (Ts) ,Hight Pressure (HP) Turbine exit temperature (T48) ,GT Compressor outlet air temperature (T2) ,HP Turbine exit pressure (P48) ,GT Compressor outlet air pressure (P2),GT exhaust gas pressure (Pexh) ,Turbine Injecton Control (TIC) ,Fuel flow (mf),GT Compressor decay state coefficient,GT Turbine decay state coefficient
1.14,3,290,1350,6680,7.58,464,551,1.1,5.95,1.02,7.14,0.082,0.95,0.975
2.09,6,6960,1380,6830,28.2,635,582,1.33,7.28,1.02,10.7,0.287,0.95,0.975
3.14,9,8380,1390,7110,60.4,606,588,1.39,7.57,1.02,13.1,0.259,0.95,0.975
4.16,12,14700,1550,7790,114,661,614,1.66,9.01,1.02,18.1,0.358,0.95,0.975
5.14,15,21600,1920,8490,175,731,646,2.08,11.2,1.03,26.4,0.522,0.95,0.975
6.18,18,29800,2310,8830,246,800,676,2.5,13.4,1.03,35.8,0.708,0.95,0.975
7.15,21,39000,2680,9130,332,855,700,2.96,15.7,1.04,45.9,0.908,0.95,0.975
8.21,24,51000,3090,9320,438,952,742,3.58,18.6,1.04,62.4,1.24,0.95,0.975
9.3,27,72800,3560,9780,645,1120,789,4.5,22.8,1.05,92.6,1.83,0.95,0.975
1.14,3,380,1360,6680,7.92,464,551,1.1,5.96,1.02,3.88,0.079,0.95,0.976
2.09,6,6970,1370,6830,27.4,636,581,1.33,7.27,1.02,12.8,0.289,0.95,0.976
3.14,9,8380,1390,7110,60.4,605,587,1.39,7.57,1.02,13.1,0.258,0.95,0.976
4.16,12,14700,1550,7790,114,661,614,1.66,9,1.02,18.1,0.358,0.95,0.976
5.14,15,21600,1920,8500,175,730,645,2.08,11.2,1.03,26.3,0.521,0.95,0.976
6.18,18,29800,2310,8830,246,799,676,2.5,13.3,1.03,35.7,0.707,0.95,0.976
7.15,21,39000,2680,9130,332,854,700,2.96,15.7,1.04,45.8,0.907,0.95,0.976
8.21,24,51000,3090,9320,438,951,742,3.58,18.6,1.04,62.3,1.23,0.95,0.976
9.3,27,72800,3560,9780,645,1110,789,4.5,22.8,1.05,92.4,1.83,0.95,0.976
1.14,3,753,1370,6700,8.86,474,553,1.12,6.05,1.02,0,0.088,0.95,0.977
2.09,6,6960,1370,6830,27.3,635,581,1.33,7.26,1.02,13.2,0.289,0.95,0.977
3.14,9,8380,1390,7120,60.4,604,587,1.39,7.56,1.02,13,0.258,0.95,0.977
4.16,12,14700,1550,7800,114,660,614,1.66,8.99,1.02,18,0.357,0.95,0.977
5.14,15,21600,1920,8500,175,729,645,2.08,11.2,1.03,26.3,0.52,0.95,0.977
6.18,18,29800,2310,8830,246,798,676,2.5,13.3,1.03,35.6,0.705,0.95,0.977
7.15,21,39000,2680,9130,332,853,700,2.96,15.6,1.04,45.7,0.905,0.95,0.977
8.21,24,51000,3090,9320,438,950,741,3.57,18.6,1.04,62.2,1.23,0.95,0.977
9.3,27,72800,3560,9780,645,1110,789,4.5,22.8,1.05,92.3,1.83,0.95,0.977
1.14,3,1340,1390,6710,10,491,557,1.14,6.19,1.02,0,0.107,0.95,0.978
2.09,6,6900,1370,6830,26.5,634,581,1.33,7.24,1.02,15.3,0.289,0.95,0.978
3.14,9,8380,1390,7120,60.4,604,587,1.39,7.55,1.02,13,0.257,0.95,0.978
4.16,12,14700,1550,7800,114,659,613,1.66,8.98,1.02,18,0.356,0.95,0.978
5.14,15,21600,1920,8500,175,729,645,2.08,11.2,1.03,26.2,0.519,0.95,0.978
